PLAYER_NAME,TEAM_ABBREVIATION,POSITION,MISSING_TEAM_USG,PREV_AVG_MIN,PRED_PTS
Miles McBride,NYK,SG,0.0,30.7436833521685,11.482065275543446
Sam Merrill,CLE,SG,30.618053421982125,28.590767499281654,11.445358078735133
Harrison Barnes,SAS,PF,31.16501244647648,23.325226419939035,11.433943637816528
Joan Beringer,MIN,PF,49.45850880538312,25.154295887893404,11.40044191847848
Tyrese Martin,BKN,SG,92.08461996352997,23.819144772463826,11.252448113695865
Karlo Matković,NOP,PF,13.709002421963397,23.690854027211444,11.240782150756583
Kobe Brown,IND,PF,123.076244562748,26.319784610871228,11.217264095466444
Ziaire Williams,BKN,SF,92.08461996352997,24.59386566750256,11.175809048442892
OG Anunoby,NYK,PF,0.0,34.06524461475788,11.127250938564936
Khris Middleton,DAL,SF,102.85497521809197,25.69884061982438,11.121494812013868
Nikola Vučević,BOS,C,0.0,26.501638850146428,11.095851307953126
Dominick Barlow,PHI,PF,31.693502140636113,27.974875745076606,11.05411492364664
Gabe Vincent,ATL,PG,16.850201076321216,24.251778979407597,11.005807102441768
Ja'Kobe Walter,TOR,SG,19.221655712760796,26.062281371760456,11.003300596534983
Kevin Huerter,DET,SF,62.59762779836883,26.157651900605796,11.002340604937208
Mikal Bridges,NYK,SF,0.0,31.56811427377785,10.99178886012153
Pat Spencer,GSW,PG,83.43678220670179,25.20766214202263,10.951855542446829
Jusuf Nurkić,UTA,C,124.25715472951893,28.447662143007143,10.943222942439318
Justin Edwards,PHI,SF,31.693502140636113,26.980110974901642,10.938126539776684
Doug McDermott,SAC,SF,153.16448917109764,28.189065880039333,10.853586866476402
Aaron Wiggins,OKC,SG,17.10672433673957,28.897900809216676,10.840738887896599
Ryan Nembhard,DAL,PG,102.85497521809197,24.858545196035465,10.816516545493696
Ryan Dunn,PHX,SF,29.65398804493872,24.536540227340808,10.775210401714821
Jamir Watkins,WAS,SG,97.38091172453582,27.54566637201833,10.74064020483185
Grayson Allen,PHX,SG,29.65398804493872,27.109006132138475,10.657219525168804
Jaxson Hayes,LAL,C,37.18177436706302,25.61752034150342,10.647182632271871
Taelon Peter,IND,SG,123.076244562748,29.962953193282303,10.639240129319582
Zaccharie Risacher,ATL,SF,16.850201076321216,24.06590255041475,10.620697203073547
Jahmai Mashack,MEM,SG,149.8069553229373,26.258398250685,10.601527703899801
Sharife Cooper,WAS,PG,97.38091172453582,25.562377168128624,10.578256272020976
Wendell Carter Jr.,ORL,C,19.168850015200327,30.22664401791681,10.564543933733278
Gradey Dick,TOR,SG,19.221655712760796,24.261729696740797,10.561936472637292
Cedric Coward,MEM,SG,149.8069553229373,25.023731679361386,10.450093354252136
AJ Johnson,DAL,SG,102.85497521809197,28.498422090729786,10.448613080560476
Draymond Green,GSW,PF,83.43678220670179,30.189146030536172,10.43403473075105
Devin Vassell,SAS,SG,31.16501244647648,28.9430276277789,10.408955299291865
Will Richard,GSW,SG,83.43678220670179,28.202245384360133,10.375604271075016
Ben Saraf,BKN,SG,92.08461996352997,26.14598288336898,10.360424016294711
KJ Simpson,CHA,PG,0.0,25.21866273352999,10.352771959648274
Isaiah Joe,OKC,SG,17.10672433673957,25.92750228638944,10.348918571964658
Drake Powell,BKN,SG,92.08461996352997,25.97389128980544,10.272983654261315
Cason Wallace,OKC,SG,17.10672433673957,27.898962294586777,10.249041190816703
Jake LaRavia,LAL,PF,37.18177436706302,26.350877585812945,10.20051677208321
Myles Turner,MIL,C,140.23922571189343,25.09439212595932,10.184463414193475
Goga Bitadze,ORL,C,19.168850015200327,22.139418145956608,10.17341852266807
Noah Penda,ORL,SF,19.168850015200327,27.0380800165356,10.170033199775336
Jamaree Bouyea,PHX,PG,29.65398804493872,23.665589381923343,10.074175023055322
Terance Mann,BKN,SG,92.08461996352997,25.53309570981882,9.97886156835843
Nae'Qwan Tomlin,CLE,PF,30.618053421982125,23.44338245081657,9.913792704687417
Davion Mitchell,MIA,PG,25.72224337251657,28.48701361111377,9.904980607283807
Tidjane Salaün,CHA,PF,0.0,23.13667640599883,9.885138388294576
Dwight Powell,DAL,C,102.85497521809197,23.828933069937914,9.855792859452261
Sam Hauser,BOS,PF,0.0,27.135518982797592,9.803880489056937
Mohamed Diawara,NYK,SF,0.0,22.159726647000987,9.78659129024011
Aaron Holiday,HOU,PG,10.2330940799291,24.773428755545527,9.71562935430106
Herbert Jones,NOP,SF,13.709002421963397,30.233319858351884,9.669902343892977
Liam McNeeley,CHA,SF,0.0,24.18818540433925,9.633867657771752
Buddy Hield,GSW,SG,83.43678220670179,25.076086277291253,9.598434794524433
JD Davison,HOU,PG,10.2330940799291,26.603254437869822,9.488586785671659
Elijah Harkless,UTA,SG,124.25715472951893,31.35437795776191,9.471798913616375
Royce O'Neale,PHX,SF,29.65398804493872,29.18303108529546,9.462800285702222
Micah Peavy,NOP,SG,13.709002421963397,25.55474585859366,9.418479786229835
Myron Gardner,MIA,SF,25.72224337251657,23.716764655164198,9.391725945946513
Bennedict Mathurin,LAC,SF,30.664131383611533,29.772252560452237,9.336035706108493
Kam Jones,IND,SG,123.076244562748,30.03244520013372,9.317307512781607
Clint Capela,HOU,C,10.2330940799291,23.89874852647727,9.296326733406367
Marcus Sasser,DET,PG,62.59762779836883,22.992477118173632,9.277273675041029
Trayce Jackson-Davis,GSW,C,83.43678220670179,22.41207593801028,9.238650008319508
Terrence Shannon Jr.,MIN,SG,49.45850880538312,25.059897461788964,9.22877064180985
Kris Murray,POR,SF,49.30602147867776,27.239961774349386,9.223901709158087
Anthony Gill,WAS,PF,97.38091172453582,26.87677255993337,9.135514001900443
Ryan Kalkbrenner,CHA,C,0.0,26.652361250349525,9.07581767949623
Egor Dëmin,BKN,PG,92.08461996352997,27.591188282863165,9.070068392184261
Bronny James,LAL,SG,37.18177436706302,23.706489675516224,9.054641931555604
Jay Huff,IND,C,123.076244562748,26.571899025850414,9.050625007703875
Rob Dillingham,CHI,PG,135.14127642451837,23.743395678436734,9.038298642484055
Jeremiah Robinson-Earl,IND,PF,123.076244562748,26.190431661750246,9.036209264655948
Kevin Love,UTA,PF,124.25715472951893,24.24687802893291,9.021784211338197
Tre Mann,CHA,PG,0.0,24.587826904486448,9.008359342771541
Craig Porter Jr.,CLE,PG,30.618053421982125,24.853009300220652,8.989115420267234
