Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
165,Bub Carrington,20,WAS,PG,27,11,751,83,214,.388,48,115,.417,35,99,.354,.500,27,38,.711,10,91,101,117,13,4,57,63,241,0,,carrica01
166,D'Angelo Russell,29,DAL,PG,23,3,448,84,209,.402,29,103,.282,55,106,.519,.471,43,60,.717,8,49,57,92,11,2,46,30,240,0,,russeda01
167,Quinten Post,25,GSW,C,30,16,568,88,209,.421,45,136,.331,43,73,.589,.529,14,18,.778,34,101,135,47,17,18,23,60,235,0,,postqu01
168,Ron Holland,20,DET,SF,28,5,588,85,210,.405,19,76,.250,66,134,.493,.450,45,56,.804,26,79,105,42,42,6,37,63,234,0,,hollaro01
169,Jake LaRavia,24,LAL,PF,27,8,675,86,189,.455,25,82,.305,61,107,.570,.521,37,53,.698,38,75,113,53,33,9,27,61,234,0,,laravja01
170,Brandon Miller,23,CHO,SF,13,13,374,81,209,.388,32,98,.327,49,111,.441,.464,40,47,.851,15,36,51,46,14,15,34,37,234,0,,millebr02
171,Kentavious Caldwell-Pope,32,MEM,SG,29,13,643,77,197,.391,37,102,.363,40,95,.421,.485,42,46,.913,12,58,70,98,23,5,40,30,233,0,,caldwke01
172,Kris Dunn,31,LAC,PG,28,22,748,89,178,.500,31,80,.388,58,98,.592,.587,23,31,.742,23,57,80,83,43,5,40,68,232,0,,dunnkr01
173,Miles McBride,25,NYK,SG,20,9,539,79,181,.436,55,124,.444,24,57,.421,.588,19,24,.792,14,37,51,49,13,5,15,35,232,0,,mcbrimi01
174,Jay Huff,27,IND,C,29,13,568,79,191,.414,40,133,.301,39,58,.672,.518,31,38,.816,32,85,117,36,7,71,22,67,229,0,,huffja01
175,Tre Johnson,19,WAS,SG,20,4,467,83,189,.439,40,101,.396,43,88,.489,.545,23,27,.852,11,53,64,28,9,9,29,35,229,0,,johnstr03
176,Jusuf Nurkić,31,UTA,C,26,21,645,92,194,.474,10,37,.270,82,157,.522,.500,35,71,.493,65,185,250,107,36,9,65,82,229,0,,nurkiju01
177,Dylan Harper,19,SAS,SG,18,0,387,88,192,.458,13,47,.277,75,145,.517,.492,38,53,.717,18,39,57,65,14,1,30,42,227,0,,harpedy01
178,Ryan Kalkbrenner,24,CHO,C,26,25,665,96,122,.787,0,2,.000,96,120,.800,.787,34,47,.723,67,100,167,16,18,47,30,48,226,0,,kalkbry01
179,Egor Dëmin,19,BKN,PG,25,18,584,80,206,.388,49,139,.353,31,67,.463,.507,16,19,.842,12,68,80,85,23,8,45,48,225,0,,demineg01
180,Joel Embiid,31,PHI,C,11,11,288,75,178,.421,12,53,.226,63,125,.504,.455,63,77,.818,20,53,73,31,9,14,27,22,225,0,,embiijo01
181,Cason Wallace,22,OKC,SG,28,26,778,85,201,.423,41,113,.363,44,88,.500,.525,14,17,.824,20,63,83,65,67,6,27,62,225,0,,wallaca01
182,Buddy Hield,33,GSW,SG,29,3,520,82,197,.416,42,129,.326,40,68,.588,.523,17,18,.944,20,52,72,44,23,2,32,38,223,0,,hieldbu01
183,LeBron James,41,LAL,SF,11,11,375,83,173,.480,15,53,.283,68,120,.567,.523,41,60,.683,9,53,62,78,10,8,29,17,222,0,,jamesle01
184,Keegan Murray,25,SAC,PF,14,13,536,88,199,.442,20,75,.267,68,124,.548,.492,26,34,.765,26,69,95,21,21,23,17,31,222,0,,murrake02
185,Marvin Bagley III,26,WAS,PF,22,7,427,91,147,.619,6,12,.500,85,135,.630,.639,32,49,.653,60,64,124,36,11,15,25,53,220,0,,baglema01
186,Moussa Diabaté,24,CHO,C,28,2,613,82,135,.607,0,0,,82,135,.607,.607,54,80,.675,96,116,212,32,23,26,22,71,218,0,,diabamo01
187,Jordan Goodwin,27,PHO,PG,25,2,524,85,203,.419,35,98,.357,50,105,.476,.505,11,16,.688,44,58,102,50,37,5,29,42,216,0,,goodwjo01
188,Herbert Jones,27,NOP,SF,22,22,616,79,194,.407,31,90,.344,48,104,.462,.487,26,32,.813,23,58,81,52,37,7,29,73,215,0,,joneshe01
189,Isaiah Jackson,24,IND,C,29,14,530,83,142,.585,0,0,,83,142,.585,.585,46,62,.742,73,98,171,24,21,24,33,87,212,0,,jacksis01
190,Jonathan Kuminga,23,GSW,PF,18,13,446,78,181,.431,16,50,.320,62,131,.473,.475,40,54,.741,28,83,111,46,5,6,44,31,212,0,,kuminjo01
191,Terance Mann,29,BKN,SG,25,25,657,77,168,.458,25,70,.357,52,98,.531,.533,32,38,.842,35,52,87,93,19,5,26,67,211,0,,mannte01
192,Maxime Raynaud,22,SAC,C,21,7,437,85,163,.521,6,18,.333,79,145,.545,.540,35,46,.761,36,85,121,20,10,10,24,51,211,0,,raynama01
193,Pelle Larsson,24,MIA,SG,24,16,525,71,160,.444,25,74,.338,46,86,.535,.522,42,54,.778,11,49,60,76,13,5,25,46,209,0,,larsspe01
194,Ziaire Williams,24,BKN,SF,24,2,538,68,172,.395,37,124,.298,31,48,.646,.503,36,43,.837,16,46,62,17,21,12,26,47,209,0,,willizi02
